Question Category - stakeholder,Question sub-category,Q No.,Question - general,Parameters,Region(s) Applicable - Assumption as well as from source,Reference to country specific tab
,,10,How can I vote if I turn 18 soon after Election Day in <region>?,<region>,<region> = *,SA-Q4
,,11,How can I vote in <region> if I am in another town or provinence on Election Day?,<region>,<region> = *,SA-Q5
,,12,How can I vote in <region> if I am in another country on Election Day?,<region>,<region> = *,SA-Q6
,,13,How can I vote in <region> if I will be out of the country on government service on Election Day?,<region>,<region> = *,SA-Q7
,,14,How can I vote if I am a <region> citizen but no longer live in <region>?,<region>,<region> = *,SA-Q8
,,15,How can I vote if I am bedridden and unable to go to my voting station in <region> on Election Day?,<region>,<region> = *,SA-Q9
,,16,How can I vote in <region> if I am in hospital?,<region>,<region> = *,SA-Q10
,,17,I am blind. Would someone be able to help me at the voting station in <region>?,<region>,<region> = *,SA-Q18
,,18,How do I register to vote in <region>?,<region>,<region> = *,CA-Q3
,,19,How does mail-in voting work in <region>?,<region>,<region> = *,CA-Q5
,,20,"I’ve requested my mail-in ballot in <region>. If I change my mind and want to vote in person, how can I do that?",<region>,<region> = *,USA-Q4
,,21,"In <region>, how far in advance of the election day must we send our mail-in ballots?",<region>,<region> = *,USA-Q7
,,22,"In <region>, How will people who lost their homes receive their voting information and their mail-in ballots?",<region>,<region> = *,USA-Q9
,,23,How can people volunteer to help the post office process ballots for delivery?,,,USA-Q11
,,24,How can I make sure my mail-in ballot is received and counted?,,,USA-Q13
,,25,How can I vote absentee in <region>?,<region>,<region> = *,USA-Q53
,,26,How and where can I vote early in person in <region>?,<region>,<region> = *,USA-Q55
,,27,How is the ballot order determined for candidates and political parties in <region>?        ,<region>,<region> = *,USA-Q62
,,28,How can I trust the accuracy of the results?        ,,,USA-Q74
,,29,How can I help in <region>?        ,<region>,<region> = *,USA-Q77
,,30,How to register by mail to vote in <region>?        ,<region>,<region> = *,USA-Q81
,,31,How to check if I am registered to vote in <region>?        ,<region>,<region> = *,USA-Q82
,,32,How to update my address in <region>?,<region>,<region> = *,USA-Q83
,,33,How do I get an absentee ballot if I am overseas or serving in the military outside my home state in <region>?,<region>,<region> = *,USA-Q84
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Voter-when (1.3),,,,,
,,1,Why are elections always held on a <day of the week> in <region>?,"<day of the week>, <region>","<day of the week>, <region> = {{Tuesday, USA}, {Wednesday, Indonesia}}",IDN-Q2
,,2,"I recently renewed my ID card, but still cannot vote in <region>. Why?",<region>,<region> = *,EST-Q12
,,3,"In <region>, when is the last date to register to vote?",<region>,<region> = *,USA-Q19
,,4,When can the <region> begin to count absentee & mail-in ballots?,<region>,<region> = *,USA-Q35
,,5,When and where will results be reported in <region>?        ,<region>,<region> = *,USA-Q71
,,6,When is a recount necessary?        ,,,USA-Q73
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Voter-who (1.4),,,,,
,,1,Who can run for President of <region>?,<region>,"<region> = {USA, Ireland, India}",IRE-Q2
,,2,Who can run for <Head-of-govenment> of <region>?,"<Head-of-govenment>, <region>","<Head-of-govenment>, <region> = {{Prime Minister, {Canada, India}}, {President, {USA, India, South Africa}} }",IRE-Q2
,,3,Who can run for <Head-of-state> of <region>?,"<Head-of-state>, <region>","<Head-of-state>, <region> = { {{King | Queen}, Canada}, {President, {USA, India, South Africa, Indonesia}}  }",IRE-Q2
,,4,Which countries use voting through the internet?,,,EST-Q27
,,5,What candidates and/or offices are on the ballot in <region>?,<region>,<region> = *,USA-Q42
,,6,Who can vote absentee in <region>?,<region>,<region> = *,USA-Q52
,,7,Who are my elected officials in <region>?        ,<region>,<region> = *,USA-Q85
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Candidate questions (2),,,,,,
,Candidate-what (2.1),,,,,
,,1,Which are the most populated (in terms of number of voters) and least populated seats being contested in the general election?,,,UK-Q1
,,2,In what conditions can a candidate request a recount in a close result?,,,UK-Q3
,,3,Do <poll officers> have any guidelines about conditions when a candidate can request a recount in a close result?,<poll officer>,,UK-Q3
,,4,What if <candidate> refuses to accept the election results?,<candidate>,,USA-Q5
,,5,"What are the conditions in which a candidate can request a recount in a close result, do <poll officers> have any guidelines (in <region>)?","<poll officers>, <region>",,UK-Q3
,,6,What happens if there is a hung <house>?,<house>,<region> = *,UK-Q5
,,7,Do you have to vote for the party you are registrered for?,,,USA-Q1
,,8,How much can a candidate spend in <region>?,<region>,<region> = *,IRE-4
,,,,,,
,Candidate-how (2.2),,,,,
,,1,How is it ensured that each voter votes themselves (independently) (in <region>)?,<region>,<region> = *,"EST-Q20, EST-Q43"
,,2,How can I be sure that the electoral committee or anybody else cannot change the contents of the vote-collecting tank (in <region>)?,<region>,<region> = *,EST-Q45
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Election Administration / Journalist questions (3),,,,,,
,Election-What (3.1),,,,,
,,1,What goes into the cost of an election in <region>?,<region>,<region> = *,CA-Q7
,,2,Why do the elections matter?,,,IDN-Q4
,,,,,,
,Election-Who (3.2),,,,,
,,1,Who are first-time voters? ,,,IDN-Q1
,,2,Who are Millennial voters?,,,IDN-Q1
,,,,,,
,Election-How (3.3),,,,,
,,1,How does <region> handle voter abstention?,<region>,<region> = *,IDN-Q3
,,2,"What counts as a ""fair"" election?",,,IDN-Q5
,,3,How do local officials verify signatures on mail-in ballots?,,,USA-Q8
