Q No.,Question - general,Parameters,Region(s) Applicable - Assumption,Question - specific,Source,Region(s) Applicable - Known
34,"I registered for a previous election in <country>, do I have to register again?",<country>,,"I registered for a previous election, do I have to register again?",https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
35,I will be younger than 18 years old on Election Day - should I still register in <country>?,<country>,,I will be younger than 18 years old on Election Day - should I still register?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
36,N/A,,,My ID book is in my maiden name but my married name appears on the voters' roll. Do I need to re-register?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
37,What do I need to bring with me when I register as a voter in <country>?,<country>,,What do I need to bring with me when I register as a voter?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
38,What proof do I get that I have registered to vote in <country>?,<country>,,What proof do I get that I have registered?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
39,When and how do I change my details on the voters' roll in <country>?,<country>,,When and how do I change my details on the voters' roll?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
40,When does the voters' roll open for public inspection in <country>?,<country>,,When does the voters' roll open for public inspection?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
41,N/A,,,When is the next registration weekend?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
42,Can I vote at my nearest voting station in <country>?,<country>,,Can I vote at my nearest voting station?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
43,Can I vote online or by post in <country>?,<country>,,Can I vote online or by post?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
44,How do I know if my voting station has changed in <country>?,<country>,,How do I know if my voting station has changed?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
45,N/A,,,I registered at a temporary registration station. Where do I vote?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
46,Where can I vote in <country>?,<country>,,Where can I vote?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
47,Why has my voting station in <country> changed?,<country>,,Why has my voting station changed?,https://www.elections.org.za/content/for-voters/FAQ-For-Voters/,
